Well_ID,Point_ID,x_long,y_lat,County,MeasurementMonth,MeasurementDay,MeasurementYear,MeasurementDate,WaterElevation,Max_NS,SaturatedThickness
239202,114,-102.172222,36.480278,Dallam,12,10,1996,12/10/96,3506.2,3450,56.19999999999982
239202,114,-102.172222,36.480278,Dallam,12,11,1997,12/11/97,3509.8,3450,59.80000000000018
239202,114,-102.172222,36.480278,Dallam,12,9,1998,12/9/98,3512.68,3450,62.679999999999836
239202,114,-102.172222,36.480278,Dallam,12,9,1999,12/9/99,3512.66,3450,62.659999999999854
239202,114,-102.172222,36.480278,Dallam,12,7,2000,12/7/00,3512.7,3450,62.69999999999982
239202,114,-102.172222,36.480278,Dallam,12,14,2002,12/14/02,3501.15,3450,51.15000000000009
239202,114,-102.172222,36.480278,Dallam,12,17,2003,12/17/03,3507.16,3450,57.159999999999854
239202,114,-102.172222,36.480278,Dallam,12,15,2004,12/15/04,3507,3450,57.0
239202,114,-102.172222,36.480278,Dallam,11,5,2005,11/5/05,3512,3450,62.0
239202,114,-102.172222,36.480278,Dallam,12,2,2006,12/2/06,3510.7,3450,60.69999999999982
239202,114,-102.172222,36.480278,Dallam,12,7,2007,12/7/07,3510.3,3450,60.30000000000018
239202,114,-102.172222,36.480278,Dallam,12,11,2008,12/11/08,3510.56,3450,60.559999999999945
239202,114,-102.172222,36.480278,Dallam,11,4,2009,11/4/09,3509.96,3450,59.960000000000036
239202,114,-102.172222,36.480278,Dallam,12,15,2010,12/15/10,3508.9,3450,58.90000000000009
239202,114,-102.172222,36.480278,Dallam,12,6,2011,12/6/11,3496.59,3450,46.590000000000146
239202,114,-102.172222,36.480278,Dallam,12,5,2012,12/5/12,3509.52,3450,59.51999999999998
239301,115,-102.157778,36.476389,Sherman,1,27,1995,1/27/95,3503.84,3450,53.840000000000146
239301,115,-102.157778,36.476389,Sherman,2,8,1996,2/8/96,3496.7,3450,46.69999999999982
239301,115,-102.157778,36.476389,Sherman,1,9,1997,1/9/97,3496.75,3450,46.75
239301,115,-102.157778,36.476389,Sherman,3,1,2000,3/1/00,3492.69,3450,42.690000000000055
239301,115,-102.157778,36.476389,Sherman,1,16,2002,1/16/02,3490.19,3450,40.190000000000055
239301,115,-102.157778,36.476389,Sherman,2,12,2003,2/12/03,3499.35,3450,49.34999999999991
239301,115,-102.157778,36.476389,Sherman,1,21,2004,1/21/04,3485.92,3450,35.92000000000007
239301,115,-102.157778,36.476389,Sherman,3,10,2005,3/10/05,3498.02,3450,48.01999999999998
239502,240,-102.191945,36.451945,Dallam,3,4,2010,3/4/10,3523.56,3520,3.5599999999999454
239502,240,-102.191945,36.451945,Dallam,12,2,2010,12/2/10,3525.09,3520,5.0900000000001455
239502,240,-102.191945,36.451945,Dallam,1,9,2012,1/9/12,3524.14,3520,4.139999999999873
